#{"t_start": 1615654246.0842369, "env_id": "MountainCarContinuous-v0"}
r,l,t
94.664691,74,1585.812704
94.384486,85,1587.514809
94.051179,81,1588.66772
95.401509,76,1590.282372
94.878638,83,1591.52108
93.113892,75,1593.248398
93.83037,78,1594.407604
94.297724,99,1596.051727
95.665771,78,1597.82066
94.904998,78,1599.09163
94.371694,78,1600.202405
94.438754,76,1601.817431
93.276158,85,1603.028531
94.035579,77,1604.766826
93.995096,82,1605.952567
92.923071,106,1608.587022
95.2189,75,1609.873026
93.50315,85,1611.547435
94.401559,82,1612.908851
94.513896,81,1614.627491
94.391653,73,1615.737221
91.782276,148,1618.607351
94.920758,75,1619.724038
94.392501,82,1621.385609
94.165741,85,1622.501091
94.08126,82,1624.088349
93.844606,88,1625.806356
93.764412,87,1627.005349
94.713926,78,1628.706057
94.102549,88,1630.313763
94.296997,77,1631.437823
94.005411,97,1633.070428
93.883921,84,1634.757988
94.560184,76,1635.87563
93.844952,82,1637.727194
93.52615,94,1639.061547
94.756182,76,1640.727398
94.188622,77,1641.928067
93.948553,91,1643.533372
94.589581,119,1645.742913
94.851281,73,1646.963818
90.947581,149,1650.017252
93.435008,91,1651.657572
95.135818,77,1652.766434
94.305798,82,1654.671008
95.31082,74,1655.848414
95.34687,91,1657.720717
95.069382,79,1659.019365
94.584589,106,1661.25198
93.516737,70,1662.398916
90.445969,152,1664.789509
94.306577,80,1666.748454
94.084242,78,1667.932352
94.704009,80,1669.578045
95.205933,76,1670.779747
96.444805,89,1672.64442
95.0651,73,1673.789562
93.11682,148,1676.673939
93.480459,83,1678.370298
94.41446,93,1679.52929
94.802987,74,1681.26309
94.270147,78,1682.394791
94.419651,78,1684.057506
91.763695,152,1686.455673
93.163163,105,1688.617425
95.017222,72,1689.689687
93.929034,85,1691.317924
95.548817,88,1692.457224
94.631658,101,1694.138924
93.82074,82,1696.07637
94.373729,86,1697.754721
94.834973,76,1698.978453
94.372468,86,1700.727097
93.761343,88,1702.467532
95.093131,94,1703.57133
95.196181,76,1705.188541
93.866813,79,1706.454914
94.103514,81,1708.229912
95.4481,75,1709.314412
94.596075,78,1710.910877
93.672978,84,1711.977365
95.497857,75,1713.689408
94.690185,74,1714.946758
94.189201,89,1716.692944
93.773217,97,1718.352737
92.568311,131,1720.620875
94.036482,80,1721.814755
91.450219,182,1725.118121
93.41983,83,1726.785914
95.385647,73,1727.868519
93.639238,95,1729.657558
93.395257,104,1731.311737
95.633691,83,1732.943212
95.62747,94,1734.579656
95.339952,75,1735.757869
94.670193,104,1737.354836
94.645055,74,1738.96773
95.557018,80,1740.178708
93.327113,96,1741.767767
95.222945,82,1743.448695
95.657941,80,1744.593347
95.206929,77,1746.318429
94.456252,75,1747.40161
94.37776,82,1748.543085
93.90769,76,1750.159031
95.431049,76,1751.330219
95.028202,87,1753.066442
94.811101,73,1754.171084
93.298258,79,1755.794221
94.890109,80,1756.982552
94.398596,76,1758.684563
92.433363,112,1760.436016
94.732688,94,1762.135504
94.517946,73,1763.230509
94.339081,76,1764.83171
93.149586,90,1765.949356
94.736106,81,1767.655137
94.996091,81,1768.864181
94.642505,77,1770.552031
94.427059,77,1771.659138
94.766263,91,1773.283703
94.11009,86,1775.002886
92.726422,96,1776.695246
93.839758,105,1778.395886
94.876831,75,1779.541808
93.659078,111,1781.680609
93.306023,88,1783.250221
91.64273,159,1786.114661
94.101996,76,1787.318163
96.121974,89,1788.882977
94.296581,83,1789.976378
93.42018,110,1792.124756
94.938254,83,1793.24928
94.66066,74,1794.895947
95.196172,73,1795.9652
94.883636,74,1797.069965
89.384952,191,1800.374298
93.787808,86,1801.995642
94.929582,85,1803.79543
94.193206,92,1805.579943
93.882658,87,1806.956227
94.023133,86,1810.507762
94.110392,84,1810.614015
95.171985,75,1810.696349
94.992735,76,1810.773843
94.957723,76,1810.861509
94.425586,80,1810.943408
94.075528,85,1811.030429
94.332045,81,1811.113663
95.115274,75,1811.192164
95.14214,75,1811.268335
95.136148,75,1811.35594
95.150512,75,1811.453835
95.003492,76,1811.552705
94.808412,77,1811.647986
94.336964,81,1811.74892
94.423734,80,1811.855191
95.171518,75,1811.949206
94.961852,76,1812.043877
94.424726,80,1812.144628
94.640885,78,1812.228829
94.65908,78,1812.306898
94.423784,80,1812.383949
95.147148,75,1812.457176
94.793638,77,1812.531744
94.330471,81,1812.61038
94.994448,76,1812.68387
95.180432,75,1812.757111
94.951415,76,1812.833287
94.423683,80,1812.917408
95.124147,75,1812.991612
94.046976,85,1813.076772
94.258124,82,1813.170861
94.075012,85,1813.269571
94.649585,78,1813.367939
95.114104,75,1813.461518
94.537095,79,1813.565076
94.42463,80,1813.664921
94.169289,83,1813.769275
94.951266,76,1813.870434
94.974281,76,1813.977553
94.043181,85,1814.083841
94.958634,76,1814.18189
94.18565,83,1814.275862
95.140814,75,1814.367993
95.16433,75,1814.462156
94.522968,79,1814.563665
94.244611,82,1814.66608
94.781175,77,1814.762849
94.782552,77,1814.859885
94.971593,76,1814.961201
94.786457,77,1815.054533
95.161411,75,1815.148813
94.339259,81,1815.231292
95.127937,75,1815.320779
94.641689,78,1815.418046
94.534061,79,1815.515259
94.636183,78,1815.611539
94.523024,79,1815.71096
94.781491,77,1815.808788
94.766444,77,1815.913566
94.248819,82,1816.015868
94.528198,79,1816.114434
94.803376,77,1816.211457
94.423652,80,1816.310764
94.820554,77,1816.405644
94.637029,78,1816.502798
94.424895,80,1816.601381
94.775951,77,1816.696213
